,KIND_OF_CONDITION_ID,IS_RECORD_DELETED,NAME,EXTENSION_TABLE_NAME,RECORD_INSERTION_TIME,RECORD_INSERTION_USER,RECORD_LASTUPDATE_TIME,RECORD_LASTUPDATE_USER,COMMENT_DESCRIPTION,CATEGORY_NAME
51,23120,F,LD HGCROC ToT TDC Injection Scan,HGCROC_TDC_TOT_THRSHLD,2023-01-16 15:14:31,Umesh,,,LD HGCROC ToT TDC Injection Scan,
52,23140,F,SiPM HGCROC ToT TDC Injection Scan,HGCROC_TDC_TOT_THRSHLD,2023-01-16 15:14:31,Umesh,,,SiPM HGCROC ToT TDC Injection Scan,
53,7060,F,HGCROC2 Test Data,HGCROC_TEST,2020-06-27 13:46:38,Umesh,2020-11-15 01:36:11,CMS_HGC_CORE_COND,HGC ROC Test Data,
54,5840,F,UCSB HG Chan Noise Summary Scalar Data,UCSB_CHAN_NOISE_SUMRY_HG,2019-05-15 21:56:16,Umesh,2020-03-07 10:11:07,CMS_HGC_CORE_COND,UCSB High Gain Chan Noise Summary Scaler Data,MEASUREMENT
55,5860,F,UCSB LG Chan Noise Summary Scalar Data,UCSB_CHAN_NOISE_SUMRY_LG,2019-05-15 21:56:23,Umesh,2020-03-07 10:11:07,CMS_HGC_CORE_COND,UCSB Low Gain Chan Noise Summary Scaler Data,MEASUREMENT
56,4600,F,HGC Six Inch Module Wire Bond Pull Test,HGC_MOD_WIREBOND_TEST,2018-12-22 08:00:56,Umesh,2020-03-07 10:11:08,CMS_HGC_CORE_COND,HGC Six Inch Module Wire Bond Pull Test,MEASUREMENT
57,3420,F,HGC CERN Sensor IV,HGC_CERN_SENSOR_IV,2018-07-31 05:31:19,Umesh,2020-10-28 06:25:27,CMS_HGC_CORE_COND,HGC CERN Sensor IV Test,MEASUREMENT
58,3440,F,HGC CERN Sensor CV,HGC_CERN_SENSOR_CV,2018-07-31 05:31:25,Umesh,2020-10-28 06:25:27,CMS_HGC_CORE_COND,HGC CERN Sensor CV Test,MEASUREMENT
59,16640,F,HD HGCROC Pedestal Run,HGCROC_PEDESTAL_RUN,2022-06-22 06:16:02,Umesh,2022-06-22 06:17:30,CMS_HGC_CORE_COND,HD HGCROC Pedestal Run,
60,16660,F,LD HGCROC Pedestal Run,HGCROC_PEDESTAL_RUN,2022-06-22 06:16:03,Umesh,2022-06-22 06:17:37,CMS_HGC_CORE_COND,LD HGCROC Pedestal Run,
